Position,Name,Jersey,Rating,Raking,Depth,Height,Weight,Age,Birthday,Experience,College,Team
PG,Ryan Arcidiacono,51,73,#79 PG,3,"6' 2""",194,25,3/26/94,3rd season,Villanova,Chicago Bulls
PG,Shaquille Harrison,3,73,#89 PG,3,"6' 7""",189,26,6/10/1993,3rd season,Tulsa,Chicago Bulls
SG,Coby White,0,79,#21 SG,2,"6' 3""",182,19,2/16/00,Rookie,UNC,Chicago Bulls
SG,Adam Mokoka,20,65,#68 SG,3,"6' 5""",189,21,7/18/98,Rookie,,Chicago Bulls
SG,Max Strus,28,70,#73 SG,,"6' 5""",213,23,3/28/96,Rookie,,Chicago Bulls
SF,Otto Porter,22,79,#11 SF,2,"6' 7""",196,26,3/6/1993,7th season,Georgetown,Chicago Bulls
SF,Denzel Valentine,45,73,#28 SF,2,"6' 3""",209,25,11/16/93,3rd season,Michigan State,Chicago Bulls
SF,Chandler Hutchison,15,73,#19 SF,4,"6' 7""",194,23,4/26/96,2nd season,Boise State,Chicago Bulls
PF,Lauri Markkanen,24,81,#30 PF,1,"6' 11""",238,22,5/22/97,3rd season,Arizona,Chicago Bulls
PF,Thaddeus Young,21,76,#39 PF,2,"6' 7""",218,31,6/21/88,13th season,Georgia Tech,Chicago Bulls
C,Wendell Carter Jr.,34,82,#36 C,1,"6' 9""",257,20,4/16/99,2nd season,Duke,Chicago Bulls
C,Daniel Gafford,12,74,#63 C,2,"6' 9""",233,21,1/10/1998,Rookie,Arkansas,Chicago Bulls
C,Luke Kornet,2,74,#70 C,3,"7' 1""",238,24,7/15/95,3rd season,Vanderbilt,Chicago Bulls
C,Cristiano Felicio,6,71,#94 C,4,"6' 9""",268,27,7/7/1992,5th season,,Chicago Bulls
PG,Collin Sexton,2,81,#59 PG,1,"6' 0""",189,20,4/1/1999,2nd season,Alabama,Cleveland Cavaliers
PG,Darius Garland,10,71,#74 PG,1,"6' 0""",174,19,1/26/00,Rookie,Vanderbilt,Cleveland Cavaliers
PG,Dante Exum,1,70,#76 PG,2,"6' 5""",189,24,7/13/95,5th season,,Cleveland Cavaliers
PG,Matthew Dellavedova,18,71,#105 PG,3,"6' 2""",198,29,8/9/1990,7th season,Saint Mary's,Cleveland Cavaliers
SG,Matt Mooney,3,68,#84 SG,,"6' 2""",198,22,7/2/1997,Rookie,,Cleveland Cavaliers
SF,Cedi Osman,16,77,#25 SF,1,"6' 7""",213,24,8/4/1995,3rd season,,Cleveland Cavaliers
SF,Kevin Porter Jr.,4,72,#52 SF,2,"6' 3""",213,19,4/5/2000,Rookie,USC,Cleveland Cavaliers
SF,Alfonzo McKinnie,28,72,#50 SF,3,"6' 7""",213,27,9/17/92,3rd season,Green Bay,Cleveland Cavaliers
PF,Dean Wade,32,70,#81 PF,5,"6' 9""",227,22,11/20/96,Rookie,Kansas State,Cleveland Cavaliers
C,Andre Drummond,3,85,#17 C,1,"6' 9""",277,26,10/8/1993,8th season,UConn,Cleveland Cavaliers
C,Kevin Love,0,84,#38 C,1,"6' 7""",213,31,7/9/1988,12th season,UCLA,Cleveland Cavaliers
C,Tristan Thompson,13,83,#52 C,2,"6' 9""",235,28,3/13/91,9th season,Texas,Cleveland Cavaliers
C,Larry Nance Jr.,22,82,#32 C,2,"6' 7""",229,26,1/1/1993,5th season,Wyoming,Cleveland Cavaliers
C,Ante Zizic,41,70,#91 C,3,"6' 9""",253,22,4/1/1997,3rd season,,Cleveland Cavaliers
GF,Dylan Windler,,69,,2,"6' 5""",194,23,9/22/96,Rookie,Belmont,Cleveland Cavaliers
PG,Luka Doncic,77,94,#1 PG,1,"6' 7""",216,20,2/28/99,2nd season,,Dallas Mavericks
PG,Seth Curry,31,81,#58 PG,2,"6' 2""",182,29,8/23/90,6th season,,Dallas Mavericks
PG,Jalen Brunson,13,76,#27 PG,2,"6' 0""",189,23,8/31/96,2nd season,Villanova,Dallas Mavericks
PG,J.J. Barea,5,79,#30 PG,3,"5' 10""",182,35,6/26/84,14th season,Northeastern University,Dallas Mavericks
PG,Delon Wright,55,74,#41 PG,3,"6' 5""",182,27,4/26/92,5th season,Utah,Dallas Mavericks
SG,Tim Hardaway Jr.,11,82,#8 SG,1,"6' 5""",202,27,3/16/92,7th season,Michigan,Dallas Mavericks
SG,Courtney Lee,1,69,#55 SG,4,"6' 5""",213,34,3/10/1985,12th season,Western Kentucky,Dallas Mavericks
SG,Josh Reaves,23,67,,,"6' 3""",213,22,4/6/1997,Rookie,Penn State,Dallas Mavericks
SG,Antonius Cleveland,3,64,#85 SG,,"6' 5""",194,25,2/2/1994,2nd season,SE Missouri State,Dallas Mavericks
PF,Kristaps Porzingis,6,86,#10 PF,1,"7' 3""",238,24,2/8/1995,4th season,,Dallas Mavericks
PF,Dorian Finney-Smith,10,79,#37 PF,1,"6' 7""",218,26,4/5/1993,4th season,Florida,Dallas Mavericks
PF,Justin Jackson,44,70,#52 PF,2,"6' 7""",209,24,3/28/95,3rd season,UNC,Dallas Mavericks
PF,Michael Kidd-Gilchrist,14,71,#60 PF,3,"6' 5""",231,26,9/26/93,8th season,Kentucky,Dallas Mavericks
C,Dwight Powell,7,81,#64 C,1,"6' 9""",238,28,7/20/91,6th season,Stanford,Dallas Mavericks
C,Maxi Kleber,42,79,#31 C,2,"6' 9""",238,27,1/29/92,3rd season,,Dallas Mavericks
C,Boban Marjanovic,51,77,#82 C,2,"7' 4""",288,31,8/15/88,5th season,,Dallas Mavericks
C,Willie Cauley-Stein,33,78,#42 C,3,"6' 11""",238,26,8/18/93,5th season,Kentucky,Dallas Mavericks
PG,Jamal Murray,27,84,#22 PG,1,"6' 3""",200,22,2/23/97,4th season,Kentucky,Denver Nuggets
PG,Jordan McRae,52,78,#48 PG,2,"6' 5""",178,28,3/28/91,4th season,Tennessee,Denver Nuggets
PG,Monte Morris,11,77,#38 PG,2,"6' 2""",174,24,6/27/95,3rd season,Iowa State,Denver Nuggets
PG,PJ Dozier,35,70,#101 PG,,"6' 5""",202,22,10/25/96,3rd season,South Carolina,Denver Nuggets
SG,Gary Harris,14,73,#32 SG,1,"6' 3""",202,25,9/14/94,6th season,Michigan State,Denver Nuggets
SF,Will Barton,5,79,#10 SF,1,"6' 5""",174,28,6/1/1991,8th season,Memphis,Denver Nuggets
SF,Torrey Craig,3,74,#37 SF,3,"6' 7""",213,28,12/19/90,3rd season,USC Upstate,Denver Nuggets
SF,Keita Bates-Diop,6,72,#77 SF,3,"6' 7""",227,23,1/23/96,2nd season,Ohio State,Denver Nuggets
SF,Vlatko Cancar,31,68,#49 SF,,"6' 7""",209,22,10/4/1997,Rookie,,Denver Nuggets
PF,Paul Millsap,4,83,#17 PF,1,"6' 7""",249,34,10/2/1985,14th season,Louisiana Tech,Denver Nuggets
PF,Michael Porter Jr.,1,81,#29 PF,2,"6' 9""",213,21,6/29/98,Rookie,Missouri,Denver Nuggets
PF,Jerami Grant,9,80,#31 PF,2,"6' 7""",213,25,12/3/1994,6th season,Syracuse,Denver Nuggets
C,Nikola Jokic,15,90,#3 C,1,"6' 11""",251,24,2/19/95,5th season,,Denver Nuggets
C,Mason Plumlee,7,81,#61 C,2,"6' 11""",235,29,5/3/1990,7th season,Duke,Denver Nuggets
C,Noah Vonleh,1,79,#81 C,3,"6' 9""",255,24,8/24/95,6th season,Indiana,Denver Nuggets
C,Bol Bol,,71,#76 C,3,"7' 1""",233,19,11/16/99,Rookie,Oregon,Denver Nuggets
PG,Stephen Curry,30,96,#2 PG,1,"6' 2""",189,31,3/14/88,11th season,Davidson,Golden State Warriors
PG,Ky Bowman,12,72,#94 PG,2,"6' 0""",180,22,6/16/97,Rookie,Boston College,Golden State Warriors
PG,Jeremy Pargo,20,70,#102 PG,,"6' 2""",218,33,3/17/86,3rd season,Gonzaga,Golden State Warriors
SG,Damion Lee,1,76,#34 SG,1,"6' 5""",209,27,10/21/92,3rd season,,Golden State Warriors
SG,Jordan Poole,3,73,#44 SG,2,"6' 3""",194,20,6/19/99,Rookie,Michigan,Golden State Warriors
SG,Klay Thompson,11,88,#2 SG,3,"6' 5""",213,29,8/2/1990,9th season,Washington State,Golden State Warriors
SG,Zach Norvell,21,68,#70 SG,,"6' 5""",205,21,9/12/1997,Rookie,Gonzaga,Golden State Warriors
SG,Mychal Mulder,,66,,,"6' 3""",182,25,12/6/1994,Rookie,,Golden State Warriors
SF,Andrew Wiggins,22,85,#5 SF,1,"6' 7""",191,24,2/23/95,6th season,Kansas,Golden State Warriors
SF,Juan Toscano-Anderson,95,67,#86 SF,,"6' 5""",213,26,10/4/1993,Rookie,Marquette,Golden State Warriors
PF,Draymond Green,23,81,#18 PF,1,"6' 5""",229,29,4/3/1990,8th season,Michigan State,Golden State Warriors
PF,Marquese Chriss,32,75,#33 PF,1,"6' 9""",238,22,2/7/1997,4th season,Washington,Golden State Warriors
PF,Eric Paschall,7,78,#54 PF,2,"6' 5""",253,22,4/11/1996,Rookie,,Golden State Warriors
PF,Alen Smailagic,6,72,#72 PF,3,"6' 9""",213,19,8/18/00,Rookie,,Golden State Warriors
PF,Dragan Bender,17,72,#73 PF,,"6' 11""",224,21,11/17/97,4th season,,Golden State Warriors
C,Kevon Looney,5,75,#72 C,2,"6' 9""",218,23,6/2/1996,5th season,UCLA,Golden State Warriors
PG,Langston Galloway,9,76,#73 PG,2,"6' 0""",198,27,9/12/1991,6th season,Saint Joseph's,Detroit Piston
PG,Derrick Rose,25,82,#12 PG,3,"6' 2""",198,31,4/10/1988,11th season,Memphis,Detroit Piston
PG,Brandon Knight,20,72,#100 PG,3,"6' 2""",194,27,2/12/1991,8th season,Kentucky,Detroit Piston
PG,Jordan Bone,18,66,#90 PG,5,"6' 2""",178,21,5/11/1997,Rookie,Tennessee,Detroit Piston
SG,Luke Kennard,5,80,#14 SG,1,"6' 5""",205,23,6/24/96,3rd season,Duke,Detroit Piston
SG,Bruce Brown,6,73,#31 SG,2,"6' 3""",200,23,8/15/96,2nd season,Miami (FL),Detroit Piston
SG,Khyri Thomas,13,68,#76 SG,4,"6' 2""",209,23,8/5/1996,2nd season,Creighton,Detroit Piston
SF,Sviatoslav Mykhailiuk,19,71,#22 SF,1,"6' 7""",202,22,10/6/1997,2nd season,Kansas,Detroit Piston
SF,Sekou Doumbouya,45,75,#74 SF,2,"6' 7""",207,18,12/23/00,Rookie,,Detroit Piston
SF,Tony Snell,17,73,#64 SF,2,"6' 5""",211,27,10/11/1991,7th season,New Mexico,Detroit Piston
SF,Louis King,14,69,#82 SF,,"6' 7""",194,20,6/4/1999,Rookie,Oregon,Detroit Piston
PF,Blake Griffin,23,85,#11 PF,1,"6' 9""",249,30,3/16/89,10th season,Oklahoma,Detroit Piston
PF,Christian Wood,35,82,#38 PF,1,"6' 9""",213,24,9/27/95,4th season,UNLV,Detroit Piston
C,Thon Maker,7,72,#78 C,2,"6' 11""",220,22,2/25/97,4th season,,Detroit Piston
C,John Henson,31,73,#41 C,3,"6' 9""",218,28,12/28/90,8th season,UNC,Detroit Piston
PG,James Harden,13,98,#4 PG,1,"6' 5""",218,30,8/26/89,11th season,Arizona State,Houston Rockets
PG,Russell Westbrook,0,87,#9 PG,1,"6' 2""",198,30,12/11/1988,12th season,UCLA,Houston Rockets
PG,Eric Gordon,10,80,#45 PG,2,"6' 2""",213,30,12/25/88,12th season,Indiana,Houston Rockets
PG,Austin Rivers,25,78,#52 PG,2,"6' 2""",198,27,1/8/1992,8th season,Duke,Houston Rockets
SG,Ben McLemore,16,78,#40 SG,2,"6' 2""",194,26,11/2/1993,7th season,Kansas,Houston Rockets
SG,Chris Clemons,3,71,#49 SG,3,"5' 8""",178,22,7/23/97,Rookie,Campbell,Houston Rockets
SG,Michael Frazier,21,66,#82 SG,4,"6' 2""",198,25,8/3/1994,Rookie,Florida,Houston Rockets
SG,William Howard,52,66,#83 SG,,"6' 7""",202,25,10/25/93,Rookie,,Houston Rockets
SF,Danuel House,4,78,#23 SF,1,"6' 5""",213,26,7/6/1993,4th season,Texas A&M,Houston Rockets
SF,Bruno Caboclo,5,70,#72 SF,2,"6' 9""",216,24,9/21/95,6th season,,Houston Rockets
PF,Robert Covington,8,79,#35 PF,1,"6' 7""",209,28,12/14/90,7th season,Tennessee State,Houston Rockets
PF,P.J. Tucker,17,76,#47 PF,1,"6' 5""",244,34,5/5/1985,9th season,Texas,Houston Rockets
PF,Jeff Green,22,72,#21 PF,1,"6' 7""",233,33,8/28/86,12th season,Georgetown,Houston Rockets
PF,DeMarre Carroll,77,77,#69 PF,3,"6' 5""",213,33,7/27/86,11th season,,Houston Rockets
PF,Thabo Sefolosha,18,72,#79 PF,,"6' 5""",218,35,2/5/1984,14th season,,Houston Rockets
C,Isaiah Hartenstein,55,74,#88 C,2,"6' 11""",246,21,5/5/1998,2nd season,,Houston Rockets
C,Tyson Chandler,19,76,#84 C,3,"6' 11""",238,37,2/10/1982,19th season,,Houston Rockets
PG,Victor Oladipo,4,86,#7 PG,1,"6' 3""",209,27,4/5/1992,7th season,Indiana,Indiana Pacers
PG,Malcolm Brogdon,7,82,#28 PG,1,"6' 5""",227,26,11/12/1992,4th season,Virginia,Indiana Pacers
PG,Aaron Holiday,3,73,#57 PG,2,"6' 0""",182,23,9/30/96,2nd season,UCLA,Indiana Pacers
PG,T.J. McConnell,9,79,#60 PG,3,"6' 0""",189,27,3/25/92,5th season,,Indiana Pacers
PG,Edmond Sumner,5,70,#83 PG,3,"6' 3""",174,23,12/31/95,3rd season,Xavier,Indiana Pacers
SG,Justin Holiday,8,79,#23 SG,2,"6' 5""",180,30,5/4/1989,7th season,Washington,Indiana Pacers
SG,Brian Bowen,10,65,#81 SG,,"6' 5""",189,21,2/10/1998,Rookie,,Indiana Pacers
SG,Naz Mitrou-Long,15,63,#86 SG,,"6' 2""",216,26,3/8/1993,3rd season,Iowa State,Indiana Pacers
SF,T.J. Warren,1,83,#13 SF,1,"6' 7""",213,26,5/9/1993,6th season,NC State,Indiana Pacers
SF,Jeremy Lamb,26,82,#31 SF,2,"6' 5""",182,27,5/30/92,8th season,UConn,Indiana Pacers
SF,JaKarr Sampson,14,70,#58 SF,4,"6' 7""",213,26,3/20/93,5th season,St. John's,Indiana Pacers
PF,T.J. Leaf,22,76,#59 PF,2,"6' 9""",224,22,4/30/97,3rd season,UCLA,Indiana Pacers
PF,Doug McDermott,20,75,#48 PF,3,"6' 7""",224,27,3/1/1992,6th season,Creighton,Indiana Pacers
PF,Alize Johnson,24,72,#91 PF,3,"6' 7""",211,23,4/22/96,2nd season,Missouri State,Indiana Pacers
C,Domantas Sabonis,11,84,#8 C,1,"6' 11""",238,23,3/5/1996,4th season,Gonzaga,Indiana Pacers
C,Myles Turner,33,80,#22 C,1,"6' 11""",249,23,3/24/96,5th season,Texas,Indiana Pacers
C,Goga Bitadze,88,77,#77 C,2,"6' 11""",244,20,7/20/99,Rookie,,Indiana Pacers
PG,Reggie Jackson,1,81,#40 PG,1,"6' 2""",207,29,4/16/90,9th season,Boston College,Los Angeles Clippers
PG,Patrick Beverley,21,79,#44 PG,1,"6' 0""",182,31,12/7/1988,8th season,Arkansas,Los Angeles Clippers
PG,Lou Williams,23,84,#39 PG,2,"6' 0""",174,32,10/27/86,15th season,,Los Angeles Clippers
SG,Landry Shamet,20,76,#17 SG,2,"6' 3""",187,22,3/13/97,2nd season,Wichita State,Los Angeles Clippers
SG,Rodney McGruder,19,72,#47 SG,2,"6' 3""",198,28,7/29/91,4th season,Kansas State,Los Angeles Clippers
SG,Terance Mann,14,70,#71 SG,3,"6' 5""",213,23,10/18/96,Rookie,Florida State,Los Angeles Clippers
SG,Amir Coffey,7,65,#75 SG,,"6' 7""",202,22,6/17/97,Rookie,Minnesota,Los Angeles Clippers
SF,Kawhi Leonard,2,95,#1 SF,1,"6' 7""",229,28,6/29/91,9th season,San Diego State,Los Angeles Clippers
SF,Paul George,13,90,#2 SF,1,"6' 7""",218,29,2/5/1990,10th season,Fresno State,Los Angeles Clippers
PF,Marcus Morris,31,79,#9 PF,1,"6' 7""",233,30,2/9/1989,9th season,Kansas,Los Angeles Clippers
PF,JaMychal Green,4,73,#45 PF,2,"6' 7""",224,29,6/21/90,6th season,Alabama,Los Angeles Clippers
PF,Patrick Patterson,54,76,#64 PF,3,"6' 7""",229,30,3/14/89,10th season,Kentucky,Los Angeles Clippers
PF,Johnathan Motley,15,67,#96 PF,,"6' 7""",229,24,4/5/1995,3rd season,Baylor,Los Angeles Clippers
C,Ivica Zubac,40,76,#25 C,1,"6' 11""",238,22,3/18/97,4th season,,Los Angeles Clippers
C,Montrezl Harrell,5,87,#13 C,2,"6' 7""",238,25,1/26/94,5th season,Louisville,Los Angeles Clippers
C,Mfiondu Kabengele,25,69,#93 C,4,"6' 9""",249,22,8/14/97,Rookie,Florida State,Los Angeles Clippers
PG,Avery Bradley,11,74,#63 PG,1,"6' 2""",178,28,11/26/90,10th season,Texas,Los Angeles Lakers
PG,Rajon Rondo,9,80,#34 PG,2,"6' 0""",185,33,2/22/86,14th season,Kentucky,Los Angeles Lakers
PG,Quinn Cook,28,72,#93 PG,3,"6' 0""",178,26,3/23/93,4th season,Duke,Los Angeles Lakers
PG,Alex Caruso,4,78,#62 PG,4,"6' 5""",185,25,2/28/94,3rd season,Texas A&M,Los Angeles Lakers
SG,Danny Green,14,77,#16 SG,1,"6' 5""",213,32,6/22/87,11th season,UNC,Los Angeles Lakers
SG,K. Caldwell-Pope,1,75,#37 SG,2,"6' 5""",202,26,2/18/93,7th season,Georgia,Los Angeles Lakers
SG,Troy Daniels,30,72,#38 SG,3,"6' 3""",202,28,7/15/91,7th season,Virginia Commonwealth,Los Angeles Lakers
SG,Talen Horton-Tucker,5,71,#45 SG,4,"6' 3""",233,18,11/25/00,Rookie,Iowa State,Los Angeles Lakers
PF,LeBron James,23,99,#3 PF,1,"6' 9""",249,34,12/30/84,17th season,,Los Angeles Lakers
PF,Kyle Kuzma,0,78,#50 PF,2,"6' 7""",218,24,7/24/95,3rd season,Utah,Los Angeles Lakers
PF,Jared Dudley,10,69,#93 PF,2,"6' 5""",235,34,10/7/1985,13th season,Boston College,Los Angeles Lakers
PF,Markieff Morris,88,74,#73 PF,3,"6' 7""",244,30,2/9/1989,9th season,Kansas,Los Angeles Lakers
PF,Kostas Antetokounmpo,37,72,#104 PF,,"6' 9""",198,21,11/20/97,2nd season,Dayton,Los Angeles Lakers
PF,Devontae Cacok,,66,#76 PF,,"6' 7""",238,23,8/10/1996,Rookie,UNC Wilmington,Los Angeles Lakers
C,Anthony Davis,3,96,#1 C,1,"6' 9""",251,26,11/3/1993,8th season,Kentucky,Los Angeles Lakers
C,JaVale McGee,7,80,#45 C,1,"6' 11""",268,31,1/19/88,12th season,Nevada,Los Angeles Lakers
C,Dwight Howard,39,84,#54 C,2,"6' 9""",264,33,8/12/1985,16th season,,Los Angeles Lakers
PG,Ja Morant,12,84,#13 PG,1,"6' 2""",174,20,10/8/1999,Rookie,Murray State,Memphis Grizzeles
PG,Tyus Jones,21,79,#68 PG,2,"6' 0""",194,23,10/5/1996,5th season,Duke,Memphis Grizzeles
PG,De'Anthony Melton,0,72,#80 PG,2,"6' 2""",198,21,5/28/98,2nd season,USC,Memphis Grizzeles
SG,Grayson Allen,3,75,#69 SG,4,"6' 3""",196,24,8/10/1995,2nd season,Duke,Memphis Grizzeles
SG,John Konchar,46,75,#64 SG,,"6' 5""",209,23,3/22/96,Rookie,Purdue-Fort Wayne,Memphis Grizzeles
SG,Marko Guduric,23,67,#59 SG,,"6' 5""",200,24,8/3/1995,Rookie,,Memphis Grizzeles
SF,Dillon Brooks,24,80,#16 SF,1,"6' 7""",218,23,1/22/96,3rd season,Oregon,Memphis Grizzeles
